Job ID,Job Title,Company Name,Job Location,Salary Range,Experience Required,Job Portal,Number of Applicants,Company Size,Job Description,Recruiter Email,fake_label,triggered_rules
JOB1,Software Engineer,Amazon,Multiple Locations,5-8 LPA,2-5 years,LinkedIn,23,Small (1-50),Candidates will work closely with cross-functional teams to meet objectives.,contact@gmail.com,1,"email_suspicious,missing_description"
JOB2,Marketing Executive,Infosys,Ahmedabad,5-8 LPA,2-5 years,Indeed,462,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,career@gmail.com,1,"email_suspicious,missing_description"
JOB3,Financial Analyst,Deloitte,Multiple Locations,20+ LPA,5-10 years,Naukri.com,430,Large (500+),We value innovation and collaboration in a fast-paced environment.,apply@gmail.com,1,"email_suspicious,missing_description"
JOB4,Business Analyst,Amazon,Delhi,20+ LPA,2-5 years,LinkedIn,387,Small (1-50),We value innovation and collaboration in a fast-paced environment.,hr@outlook.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB5,Software Engineer,Infosys,Delhi,12-20 LPA,10+ years,Indeed,199,Small (1-50),Role requires domain expertise and strong communication skills.,team@gmail.com,1,"email_suspicious,missing_description"
JOB6,Data Scientist,Wipro,Pune,5-8 LPA,5-10 years,Indeed,281,Large (500+),Join us to build the next generation of solutions in your field.,career@gmaill.com,1,missing_description
JOB7,Software Engineer,Accenture,Multiple Locations,5-8 LPA,5-10 years,LinkedIn,489,Large (500+),Applicants should have relevant technical skills and industry exposure.,team@gmail.com,1,"email_suspicious,missing_description"
JOB8,Data Scientist,Wipro,Remote,5-8 LPA,0-2 years,Naukri.com,350,Medium (51-500),We value innovation and collaboration in a fast-paced environment.,hr@gmail.com,1,"email_suspicious,missing_description"
JOB9,Marketing Executive,HCL,Anywhere,5-8 LPA,5-10 years,Naukri.com,323,Medium (51-500),Role requires domain expertise and strong communication skills.,team@gmail.com,1,"email_suspicious,missing_description"
JOB10,Financial Analyst,Microsoft,Pune,12-20 LPA,5-10 years,Indeed,469,Large (500+),Candidates will work closely with cross-functional teams to meet objectives.,career@privatte.com,1,missing_description
JOB11,Sales Representative,Amazon,Mumbai,5-8 LPA,5-10 years,LinkedIn,30,Small (1-50),Looking for experienced professionals to join our growing team.,recruitment@hiremefast.co,1,missing_description
JOB12,Financial Analyst,HCL,Hyderabad,5-8 LPA,5-10 years,Naukri.com,260,Large (500+),Applicants should have relevant technical skills and industry exposure.,hiring@gmail.com,1,"email_suspicious,missing_description"
JOB13,Product Manager,Google,Noida,20+ LPA,2-5 years,Indeed,487,Small (1-50),Easy pay and work opportunity for students — apply now!,team@privatte.com,1,"missing_description,company_salary_mismatch,trigger_keyword"
JOB14,Financial Analyst,Microsoft,Noida,3-5 LPA,2-5 years,LinkedIn,80,Large (500+),Work from home and get paid weekly — easy money!,recruitment@private.com,1,missing_description
JOB15,Financial Analyst,Wipro,Delhi,5-8 LPA,2-5 years,Naukri.com,14,Large (500+),Role requires domain expertise and strong communication skills.,team@outlook.com,1,"email_suspicious,missing_description"
JOB16,Sales Representative,Deloitte,Delhi,20+ LPA,2-5 years,Naukri.com,422,Small (1-50),Easy pay and work opportunity for students — apply now!,career@outlook.com,1,"email_suspicious,missing_description,company_salary_mismatch,trigger_keyword"
JOB17,HR Manager,Wipro,Kolkata,12-20 LPA,5-10 years,Naukri.com,360,Small (1-50),Easy pay and work opportunity for students — apply now!,hiring@gmail.com,1,"email_suspicious,missing_description,trigger_keyword"
JOB18,Cyber Security Analyst,Infosys,Pune,20+ LPA,10+ years,LinkedIn,271,Small (1-50),No experience required! Apply now and start earning today!,career@outlook.com,1,"email_suspicious,missing_description,company_salary_mismatch,trigger_keyword"
JOB19,Cyber Security Analyst,IBM,Bangalore,12-20 LPA,10+ years,LinkedIn,113,Medium (51-500),Looking for experienced professionals to join our growing team.,hiring@private.com,1,missing_description
JOB20,Cyber Security Analyst,HCL,Pune,20+ LPA,0-2 years,Naukri.com,350,Large (500+),We value innovation and collaboration in a fast-paced environment.,contact@privatte.com,1,missing_description
JOB21,Data Scientist,Deloitte,Hyderabad,12-20 LPA,2-5 years,LinkedIn,232,Medium (51-500),Candidates will work closely with cross-functional teams to meet objectives.,hr@outlok.com,1,missing_description
JOB22,Graphic Designer,HCL,Anywhere,20+ LPA,2-5 years,Naukri.com,180,Small (1-50),Limited slots available! Click here to apply fast!,apply@gmail.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB23,Product Manager,TCS,Pune,20+ LPA,2-5 years,Naukri.com,76,Medium (51-500),Join us to build the next generation of solutions in your field.,career@gmail.com,1,"email_suspicious,missing_description,company_salary_mismatch"
JOB24,Cyber Security Analyst,IBM,Jaipur,8-12 LPA,2-5 years,LinkedIn,262,Medium (51-500),Work from home and get paid weekly — easy money!,hiring@company-careers.c0m,1,missing_description
JOB25,Software Engineer,Microsoft,,5-8 LPA,5-10 years,Indeed,24,Large (500+),Role requires domain expertise and strong communication skills.,career@outlok.com,1,"missing_description,location_missing"
JOB26,Cyber Security Analyst,Private,Delhi,12-20 LPA,0-2 years,LinkedIn,133,Medium (51-500),Looking for experienced professionals to join our growing team.,team@gmail.com,1,"email_suspicious,missing_description"
JOB27,Product Manager,Amazon,Ahmedabad,12-20 LPA,10+ years,Indeed,424,Medium (51-500),Join us to build the next generation of solutions in your field.,team@privatte.com,1,missing_description
JOB28,Data Scientist,Google,Jaipur,5-8 LPA,5-10 years,Indeed,288,Medium (51-500),No experience required! Apply now and start earning today!,apply@gmail.com,1,"email_suspicious,missing_description,trigger_keyword"
JOB29,Financial Analyst,Infosys,Pune,12-20 LPA,5-10 years,Indeed,221,Small (1-50),We value innovation and collaboration in a fast-paced environment.,apply@gmail.com,1,"email_suspicious,missing_description"
